archive_id, title, date 
20210203, 20210203.8162266, PRO/EDR> Measles update (03): Americas| 2020| PAHO
20210118, 20210118.8112746, PRO/EDR> Measles update (02): Pakistan (BA)
20210112, 20210112.8094447, PRO/EDR> Measles update (01): Pakistan (SD)
20201217, 20201217.8024447, PRO/AH/EDR> Measles update (29): Africa (DRC)
20201130, 20201130.7983214, PRO/AH/EDR> Measles update (28): Bolivia (SC)
20201126, 20201126.7972745, PRO/EDR> Measles update (27): global surge
20201126, 20201126.7972551, PRO/EDR> Measles update (26): Africa (South Sudan) WHO
20201122, 20201122.7963847, PRO/EDR> Measles update (25): South Africa
20201108, 20201108.7926702, PRO/EDR> Measles update (24): Africa| South Sudan (PI)
20201108, 20201108.7923049, PRO/EDR> Measles update (23): Africa (South Sudan)
20200923, 20200923.7806160, PRO/EDR> Measles update (22): Africa| US travel alert
20200906, 20200906.7751801, PRO/EDR> Measles update (21): waning immunity| Ethiopia vaccination
20200827, 20200827.7719488, PRO/EDR> Measles update (20): Africa (Congo DR)| Niger climate| immune suppression
20200811, 20200811.7668045, PRO/EDR> Measles update (19): Africa (Somalia) Asia (India) WHO| comment
20200726, 20200726.7614316, PRO/EDR> Measles update (18)
20200712, 20200712.7567076, PRO/EDR> Measles update (17)
20200624, 20200624.7506807, PRO/EDR> Measles update (16)
20200531, 20200531.7412542, PRO/EDR> Measles update (15)
20200507, 20200507.7310238, PRO/EDR> Measles update (14)
20200428, 20200428.7273471, PRO/EDR> Measles update (13): corr
20200426, 20200426.7269683, PRO/EDR> Measles update (13)
20200422, 20200422.7254550, PRO/EDR> Measles update (12)
20200405, 20200405.7187870, PRO/EDR> Measles update (11)
20200324, 20200324.7136416, PRO/EDR> Measles update (10)
20200309, 20200309.7068831, PRO/EDR> Measles update (09)
20200229, 20200229.7036821, PRO/EDR> Measles update (08)
20200220, 20200220.7006260, PRO/EDR> Measles update (07)
20200216, 20200216.6995462, PRO/EDR> Measles update (06)
20200209, 20200209.6972156, PRO/EDR> Measles update (05)
20200206, 20200206.6958610, PRO/EDR> Measles update (04)
20200201, 20200201.6943677, PRO/EDR> Measles update (03)
20200110, 20200110.6882684, PRO/EDR> Measles update (02)
20200101, 20200101.6866519, PRO/EDR> Measles update (01)
20191227, 20191227.6860159, PRO/EDR> Measles update (78)
20191221, 20191221.6852068, PRO/EDR> Measles update (77)
20191217, 20191217.6844395, PRO/EDR> Measles update (76)
20191213, 20191213.6839857, PRO/EDR> Measles update (75)
20191209, 20191209.6829995, PRO/EDR> Measles update (74)
20191205, 20191205.6823814, PRO/EDR> Measles update (73)
20191202, 20191202.6819190, PRO/EDR> Measles update (72)
20191130, 20191130.6810061, PRO/EDR> Measles update (71)
20191118, 20191118.6784410, PRO/EDR> Measles update (70)
20191102, 20191102.6758510, PRO/EDR> Measles update (69)
20191026, 20191026.6748352, PRO/EDR> Measles update (68)
20191015, 20191015.6726087, PRO/EDR> Measles update (67)
20191010, 20191010.6720518, PRO/EDR> Measles update (66)
20191007, 20191007.6712817, PRO/EDR> Measles update (65)
20190928, 20190928.6698919, PRO/EDR> Measles update (64)
20190924, 20190924.6692348, PRO/EDR> Measles update (63)
20190916, 20190916.6675833, PRO/EDR> Measles update (62)
20190910, 20190910.6665786, PRO/EDR> Measles update (61)
20190905, 20190905.6659714, PRO/EDR> Measles update (60)
20190831, 20190831.6651427, PRO/EDR> Measles update (59)
20190824, 20190824.6638980, PRO/EDR> Measles update (58)
20190821, 20190821.6632582, PRO/EDR> Measles update (57)
20190818, 20190818.6628413, PRO/EDR> Measles update (56)
20190814, 20190814.6622546, PRO/EDR> Measles update (55)
20190809, 20190809.6613182, PRO/EDR> Measles update (54)
20190805, 20190805.6605755, PRO/EDR> Measles update (53)
20190729, 20190729.6594543, PRO/EDR> Measles update (52)
20190723, 20190723.6582249, PRO/EDR> Measles update (51): RFI
20190720, 20190720.6578339, PRO/EDR> Measles update (50)
20190714, 20190714.6567853, PRO/EDR> Measles update (49)
20190711, 20190711.6561986, PRO/EDR> Measles update (48)
20190701, 20190701.6545723, PRO/EDR> Measles update (47)
20190628, 20190628.6541957, PRO/EDR> Measles update (46)
20190626, 20190626.6538379, PRO/EDR> Measles update (45)
20190622, 20190622.6533426, PRO/EDR> Measles update (44)
20190619, 20190619.6527561, PRO/EDR> Undiagnosed illness - Malaysia (03): fatalities| indigenous| measles
20190619, 20190619.6527514, PRO/EDR> Measles update (43)
20190613, 20190613.6517177, PRO/EDR> Measles update (42)
20190610, 20190610.6512991, PRO/EDR> Measles update (41)
20190607, 20190607.6509364, PRO/EDR> Measles update (40)
20190602, 20190602.6499655, PRO/EDR> Measles update (39)
20190529, 20190529.6492078, PRO/EDR> Measles update (38)
20190523, 20190523.6484253, PRO/EDR> Measles update (37)
20190521, 20190521.6478580, PRO/EDR> Measles update (36)
20190516, 20190516.6471747, PRO/EDR> Measles update (35)
20190514, 20190514.6467623, PRO/EDR> Measles update (34)
20190510, 20190510.6464334, PRO/EDR> Measles update (33)
20190508, 20190508.6459462, PRO/EDR> Measles update (32)
20190505, 20190505.6455679, PRO> Measles update (31)
20190430, 20190430.6449873, PRO/EDR> Measles update (30)
20190426, 20190426.6442536, PRO/EDR> Measles update (29)
20190422, 20190422.6434028, PRO/EDR> Measles update (28)
20190418, 20190418.6429834, PRO/EDR> Measles update (27)
20190414, 20190414.6422351, PRO/EDR> Measles update (26)
20190410, 20190410.6414559, PRO/EDR> Measles update (25)
20190406, 20190406.6408070, PRO/AH/EDR> Measles update (24)
20190403, 20190403.6402675, PRO/AH/EDR> Measles update (23)
20190331, 20190331.6396487, PRO/EDR> Measles update (22)
20190328, 20190328.6390316, PRO/EDR> Measles update (21)
20190323, 20190323.6382433, PRO/EDR> Measles update (20)
20190319, 20190319.6374494, PRO/EDR> Measles update (19)
20190315, 20190315.6370008, PRO/EDR> Measles update (18)
20190311, 20190311.6360308, PRO/EDR> Measles update (17)
20190306, 20190306.6353020, PRO/EDR> Measles update (16)
20190303, 20190303.6346095, PRO/EDR> Measles update (15): global| UNICEF alert| US Congress
20190228, 20190228.6340512, PRO/EDR> Measles update (14): Pacific| Europe| North America
20190224, 20190224.6333936, PRO/EDR> Measles update (13)
20190220, 20190220.6326123, PRO/EDR> Measles update (12): Americas| Asia
20190217, 20190217.6322038, PRO/EDR> Measles update (11)
20190214, 20190214.6316885, PRO/EDR> Measles update (10)
20190208, 20190208.6305944, PRO/EDR> Measles update (09): Americas| Asia| Indian Ocean| Europe| worldwide| vaccine
20190205, 20190205.6295288, PRO/EDR> Measles update (08): worldwide| Americas| Asia| Pacific| Indian Ocean
20190131, 20190131.6288456, PRO/EDR> Measles update (07): Americas| Africa| Europe
20190125, 20190125.6278243, PRO/EDR> Measles update (06): Americas| Europe
20190120, 20190120.6268510, PRO/EDR> Measles update (05): vaccine hesitancy| WHO| Asia| Americas| Pacific
20190119, 20190119.6266885, PRO/EDR> Measles update (04): Asia| Africa| Europe| Pacific| Americas
20190112, 20190112.6254875, PRO/AH/EDR> Measles update (03): Europe| Americas| Asia| Africa| vaccine
20190108, 20190108.6248575, PRO/EDR> Measles update (02): Pacific| Europe| Americas| Middle East| comment
20190105, 20190105.6241915, PRO/EDR> Measles vaccine - India: (MH) adverse events| RFI
20190102, 20190102.6240858, PRO/EDR> Measles update (01): Americas| Africa| Southeast Asia
20181231, 20181231.6236997, PRO/EDR> Measles update (81): Europe| Americas| Africa
20181228, 20181228.6226574, PRO/EDR> Measles update (80): Europe| Pacific| Asia| Americas| Middle East
20181223, 20181223.6221389, PRO/EDR> Measles update (79): Middle East| Americas| Europe| Pacific
20181220, 20181220.6216069, PRO/EDR> Measles update (78): Europe| Americas| Africa
20181213, 20181213.6207900, PRO/EDR> Measles update (77): Americas| Europe| Pacific
20181209, 20181209.6200560, PRO/EDR> Measles update (76): Southeast Asia| Europe| Americas
20181206, 20181206.6183455, PRO/EDR> Measles update (75): S America| SE Asia| vaccine
20181202, 20181202.6176861, PRO/EDR> Measles update (74): WHO| PAHO| South America| USA| Southeast Asia
20181201, 20181201.6174755, PRO/EDR> Measles update (73): WHO| Europe| Pacific| Middle East| USA| South America
20181128, 20181128.6168366, PRO/EDR> Measles update (72): Middle East| Africa| Southeast Asia
20181125, 20181125.6163324, PRO/EDR> Measles update (71): Europe| Americas| Southeast Asia| Pacific
20181115, 20181115.6146626, PRO/EDR> Measles update (70): Europe| Pacific| Americas
20181112, 20181112.6140598, PRO/EDR> Measles update (69): South East Asia| Pacific| Middle East| Americas| Europe
20181106, 20181106.6130335, PRO/EDR> Measles update (68): USA| South America| Middle East| Pacific
20181106, 20181106.6128235, PRO/EDR> Measles update (67): Middle East| USA| Europe| South America
20181102, 20181102.6124542, PRO/EDR> Measles update (66): Europe| Americas| Southeast Asia
20181025, 20181025.6112636, PRO/EDR> Measles update (65): Africa| USA
20181023, 20181023.6107919, PRO/EDR> Measles update (64): Americas| Canada| Europe| Africa| Asia| Pacific
20181019, 20181019.6101105, PRO/EDR> Measles update (63): Americas| Europe| Africa
20181017, 20181017.6095283, PRO/EDR> Measles update (62): Middle East| Europe| Pacific
20181015, 20181015.6090960, PRO/EDR> Measles update (61): Middle East ex Ukraine| Europe| USA
20181004, 20181004.6069532, PRO/EDR> Measles update (60): Europe| Middle East| Africa
20180923, 20180923.6046073, PRO/EDR> Measles update (59): PAHO
20180908, 20180908.6015965, PRO/EDR>  Measles update (58): Southeast Asia| Europe| USA
20180906, 20180906.6009763, PRO/EDR> Measles update (57): Africa| Americas| Europe| Pacific
20180831, 20180831.6000907, PRO/EDR> Measles update (56): Americas| Europe
20180830, 20180830.5996307, PRO/EDR> Measles update (55): Americas| PAHO
20180824, 20180824.5985569, PRO/EDR> Measles update (54): Americas
20180821, 20180821.5978356, PRO/EDR> Measles update (53): Europe| WHO| worldwide
20180819, 20180819.5975478, PRO/EDR> Measles update (52): Americas| Pacific
20180816, 20180816.5970434, PRO/EDR> Measles update (51): Americas| Europe
20180812, 20180812.5961680, PRO/EDR> Measles update (50): Americas| Europe
20180807, 20180807.5950837, PRO/EDR> Measles update (49): Americas| Europe| Asia
20180802, 20180802.5943952, PRO/EDR> Measles update (48): Americas| Europe
20180729, 20180729.5935207, PRO/EDR> Measles update (47): Americas| Europe
20180724, 20180724.5924938, PRO/EDR> Measles update (46): Americas| Asia| Indian Ocean| Europe
20180720, 20180720.5917479, PRO/EDR> Measles update (45): Europe| Americas| Africa
20180716, 20180716.5908969, PRO/EDR> Measles update (44): Americas| Europe| Asia
20180715, 20180715.5906212, PRO/EDR> Measles update (43): Libya
20180712, 20180712.5901735, PRO/EDR> Measles update (42): Samoa| MMR vaccine recall
20180709, 20180709.5895186, PRO/EDR> Measles update (41): Americas| Europe| Pacific
20180704, 20180704.5888315, PRO/EDR> Measles update (40): Middle East| Europe| Americas
20180626, 20180626.5876101, PRO/EDR> Measles update (39): Americas| Europe| Pacific
20180624, 20180624.5872709, PRO/EDR> Measles update (38): Americas| Europe| Pacific
20180621, 20180621.5866860, PRO/EDR> Measles update (37): Americas| Europe| Africa| Asia
20180615, 20180615.5858483, PRO/EDR> Measles update (36): Europe| South America| Africa
20180610, 20180610.5848499, PRO/EDR> Measles update (35): Europe| Americas| Asia
20180606, 20180606.5841052, PRO/EDR> Measles update (34): Europe| Asia| Pacific
20180526, 20180526.5820018, PRO/EDR> Measles update (33): Asia| Africa| Europe| USA
20180524, 20180524.5815287, PRO/EDR> Measles update (32): Europe| Pacific| Asia
20180514, 20180514.5796699, PRO/EDR> Measles update (31): Asia| Africa| Europe| Americas
20180510, 20180510.5791951, PRO/EDR> Measles update (30): Americas| Asia| Africa| Europe
20180506, 20180506.5787360, PRO/EDR> Measles update (29): Europe| US| Pacific and Asia
20180502, 20180502.5780064, PRO/EDR> Measles update (28): Europe| Asia| Pacific| USA
20180425, 20180425.5767864, PRO/EDR> Measles update (27): South America| Asia| Europe| Africa| USA
20180422, 20180422.5761755, PRO/EDR> Measles update (26): Europe| Pacific| Asia| USA
20180419, 20180419.5756685, PRO/EDR> Measles update (25): Asia| Pacific| Africa| Middle East| Europe| USA
20180415, 20180415.5748939, PRO/EDR> Measles update (24): Europe| Mexico| South America| USA| Pacific
20180413, 20180413.5743280, PRO/EDR> Measles update (23): Asia| Pacific| Europe| USA| Africa
20180409, 20180409.5734358, PRO/EDR> Measles update (22): USA| South America| Europe| Pacific| epi update| comment
20180406, 20180406.5728515, PRO/EDR> Measles update (21): WHO| South America| Europe| Asia| Pacific| Africa
20180331, 20180331.5720595, PRO/EDR> Measles update (20): Europe| Pacific| Americas
20180324, 20180324.5706015, PRO/EDR> Measles update (19): Pacific| Americas| Europe| Asia
20180318, 20180318.5694434, PRO/EDR> Measles update (18): USA| Asia| Europe| South America| WHO| PAHO
20180314, 20180314.5684766, PRO/EDR> Measles update (17): Asia| Pacific| Africa| Europe
20180307, 20180307.5672342, PRO/EDR> Measles update (16): Asia & Pacific| Europe| South America
20180304, 20180304.5663849, PRO/EDR> Measles update (15): Europe| Asia| Pacific
20180228, 20180228.5655543, PRO/EDR> Measles update (14): Europe| Asia and Pacific| USA
20180224, 20180224.5648197, PRO/EDR> Measles update (13): Europe (France)| USA (TX)
20180218, 20180218.5634900, PRO/EDR> Measles update (12): Africa| Europe| North America| Pacific
20180214, 20180214.5627038, PRO/EDR> Measles update (11): Pacific| Europe| USA
20180210, 20180210.5620572, PRO/EDR> Measles update (10): Europe| Pacific| South America| USA
20180205, 20180205.5606548, PRO/EDR> Measles update (09): Europe| Caribbean| Central America
20180201, 20180201.5600423, PRO/EDR> Measles update (08): Asia| Central America| North America| Europe
20180128, 20180128.5589231, PRO/EDR> Measles update (07): Africa| USA| Caribbean| Canada| Europe
20180123, 20180123.5576951, PRO/EDR> Measles update (06): Americas| Europe| Asia/Pacific
20180118, 20180118.5566770, PRO/EDR> Measles update (05): Europe| Pacific-Asia| USA
20180115, 20180115.5561190, PRO/EDR> Measles update (04): Europe| USA
20180112, 20180112.5556312, PRO/EDR> Measles update (03): Europe| Pacific| USA
20180109, 20180109.5547446, PRO/EDR> Measles update (02): Europe| South America
20180105, 20180105.5540575, PRO/EDR> Measles update (01): Asia| Europe
20171229, 20171229.5526586, PRO/EDR> Measles update (58): Australia| Sweden| Serbia| Nepal
20171213, 20171213.5501019, PRO/EDR> Measles update (57):  South America| Europe
20171205, 20171205.5485332, PRO/EDR> Measles update (56): Greece| UK| PAHO| USA| Australia
20171129, 20171129.5472558, PRO/EDR> Measles update (55): South America| US| Europe| Africa
20171113, 20171113.5441554, PRO/EDR> Measles update (54): Asia| South America| Europe
20171110, 20171110.5435068, PRO/EDR> Measles update (53): Africa| Asia| Southeast Asia| Eastern Europe
20171103, 20171103.5423266, PRO/EDR>  Measles update (52): Africa| Europe
20171021, 20171021.5395632, PRO/EDR> Measles update (51): Pacific| Asia| Europe
20171017, 20171017.5384584, PRO/EDR> Measles update (50): USA| Europe| Pacific
20171008, 20171008.5367648, PRO/EDR> Measles update (49): Asia| Europe| Pacific
20171003, 20171003.5358796, PRO/EDR> Measles update (48): Europe| Asia| South America| Africa| Pacific
20170928, 20170928.5345823, PRO/EDR> Measles update (47): Americas| Europe| Asia| Africa
20170924, 20170924.5337792, PRO/EDR> Measles update (46): Africa| Europe| Pacific| South America
20170919, 20170919.5327258, PRO/EDR> Measles update (45): Africa| Europe| South Pacific
20170908, 20170908.5304434, PRO/EDR> Measles update (44): Africa| Europe| South America| Indian Ocean
20170827, 20170827.5277324, PRO/EDR> Measles update (43): Asia and Pacific| Europe| demographics
20170821, 20170821.5263535, PRO/EDR> Measles update (42): Europe| Middle East| Africa| Pacific
20170817, 20170817.5256860, PRO/EDR> Measles update (41): Europe (Finland| Italy)
20170812, 20170812.5244541, PRO/EDR> Measles update (40): Africa| Europe
20170806, 20170806.5230541, PRO/EDR> Measles update (39): Europe| South Africa
20170729, 20170729.5214459, PRO/EDR> Measles update (38): Europe| Asia
20170718, 20170718.5185991, PRO/EDR> Measles update (37): Bangladesh (CG) fatal| children
20170716, 20170716.5179734, PRO/EDR> Measles update (36): USA| Europe (Wales| Northern Ireland)| Pacific (Indonesia)
20170712, 20170712.5170151, PRO/EDR> Measles update (35): Europe| USA
20170702, 20170702.5145654, PRO/EDR> Measles update (34): Europe| Africa| USA
20170622, 20170622.5122286, PRO/EDR> Measles update (33): USA| Europe| Africa
20170615, 20170615.5106403, PRO/EDR> Measles update (32): Africa| Europe| Asia| USA
20170606, 20170606.5087889, PRO/EDR> Measles update (31)
20170603, 20170603.5080696, PRO/EDR> Measles update (30)
20170527, 20170527.5065373, PRO/EDR> Measles update (29)
20170524, 20170524.5057969, PRO/EDR> Vaccine-preventable diseases - Pakistan: (SD)| varicella| measles| RFI
20170523, 20170523.5055301, PRO/EDR> Measles update (28)
20170516, 20170516.5039511, PRO/EDR> Measles update (27)
20170512, 20170512.5030092, PRO/EDR> Measles update (26)
20170507, 20170507.5019551, PRO/EDR> Measles update (25)
20170430, 20170430.5004210, PRO/EDR> Measles update (24)
20170426, 20170426.4995241, PRO/EDR> Measles update (23)
20170421, 20170421.4986467, PRO/EDR> Measles update (22)
20170419, 20170419.4979444, PRO/EDR> Measles update (21)
20170415, 20170415.4972251, PRO/EDR> Measles update (20)
20170413, 20170413.4967610, PRO/EDR> Measles update (19)
20170408, 20170408.4956873, PRO/EDR> Measles update (18)
